序号,新闻内容
830,4月6日，电子科学与工程学院、材料与能源学院、光电科学与工程学院、计算机科学与工程学院（网络空间安全学院）、物理学院、经济与管理学院分别举办“不忘初心跟党走，青春践行二十大”主题微党课大赛，来自各学院的多个学生党支部选手们围绕党的二十大精神，重温革命历史和国家发展取得的伟大成就，从自我革命、中国式现代化、科技报国、乡村振兴等方面作展示，进一步坚定理想信念，强化青年使命担当。
831,4月3日，副校长孔令讲带队赴中国铁塔股份有限公司四川省分公司走访，与公司党委书记、总经理郭正平等多位校友就深入推进校企合作、服务校友企业发展等进行了座谈交流，并听取了企业对学校人才培养工作等方面的建议。铁塔公司综合部、技术支撑中心负责人参会。合作发展部相关负责人陪同调研。
832,4月4日至5日，电子科学与工程学院、机械与电气工程学院、光电科学与工程学院、信息与软件工程学院、集成电路科学与工程学院、格拉斯哥海南学院、基础与前沿研究院分别组织清明缅怀活动，师生及教职工党员代表等分别在清水河校区吴立人老校长、林为干院士塑像、成都市烈士陵园、郫都区烈士陵园、邓稼先旧居、五指山革命根据地纪念园、成都马鞍山烈士纪念园等处开展清明祭扫，缅怀革命先烈、重温老一辈成电人的奋斗事迹、传承红色精神。
833,4月4日，光电科学与工程学院开展“访企拓岗”活动，学院相关负责人带队访问成都市联洲国际技术有限公司，双方围绕人才培养、就业服务等作了深入交流。
834,4月4日，资源与环境学院举行“忆院士风采，扬小文精神”缅怀李小文院士活动，学院负责人、教师代表、学生党员代表及小文班同学齐聚清水河校区李小文院士塑像旁开展缅怀活动。
835,4月3日，IEEE Fellow、香港城市大学Dapeng Oliver Wu教授做客由教师发展中心主办、信息与通信工程学院承办的“名师讲堂”，为师生带来题为“Challenges in AI Security”的学术讲座，并进行互动交流。
836,4月3日，计算机科学与工程学院（网络空间安全学院）学子赴腾讯成都分公司参加企业open day 活动，参观了展览大厅和工作环境，了解企业发展历史、企业文化，并开展了求职指导和讲座，助力学生做好职业生涯规划和准备。
837,4月3日，信息与软件工程学院、基础与前沿研究院、公共管理学院联合开展研究生职业规划与就业指导讲座，邀请研究生就业办主任路超就研究生就业形势、职业定位规划、往届研究生毕业去向等作分享，帮助同学们进一步确立职业发展目标和方向。
838,4月3日，在学校定点帮扶工作办公室对接安排下，数学科学学院、西门子工业自动化产品（成都）有限公司相关负责人一行赴岑巩县开展教育帮扶活动，分别向岑巩县第四中学（东校区）、客楼镇中心小学、平庄小学捐赠课桌椅、书架、食堂厨具等设施设备，助力岑巩教育高质量发展。
839,4月3日，格拉斯哥学院举行格拉斯哥大学2+2/3+1/MSc/PhD项目宣讲会，格拉斯哥大学国际处中国办公室主任刘宇宁受邀讲解各项目的招生政策及申请流程，并回答了同学们关于入学注册、签证及住宿等留学相关问题。
840,4月3日，电子科技大学（深圳）高等研究院相关负责人、辅导员一行赴龙华区文化广电旅游体育局座谈交流，双方就品牌活动和未来合作方式等进行交流探讨。
841,近日，机械与电气工程学院、信息与软件工程学院、“互联网+”复合培养实验班分别举办“强体魄迎大运 展风采向未来”系列体育活动、“强健体魄，强国有我”2023年跃享体育启动仪式暨“信达杯”篮球赛和“激扬青春风采，喜迎大运盛会”2022级新生素质拓展活动，在强健体魄的同时增进了学子间的友谊。
842,4月3日，副校长胡俊一行到访澳门大学，在协同创新研究院认知与脑科学研究中心作参观交流，生命科学与技术学院院长陈华富作了题为“精神疾病脑影像模式识别与影像表征”的学术报告，双方还就科学研究、人才培养等合作事宜进行了商讨。
843,3月30日，校长曾勇、校党委副书记申小蓉带队赴山东青岛开展“访企拓岗”活动，走访了海信集团、中国电科22所、中国企业联合会、青岛企业联合会，就人才培养、立人班建设、实习实训基地共建、产学研合作等方面与用人单位进行深入交流，并与山东校友会进行了座谈。学校相关部门负责人参加活动。
844,4月1日，副校长胡皓全现场检查指导学校2023年硕士研究生复试工作，并与各学院复试现场工作人员进行交流。相关部门负责人陪同检查。
845,3月24日至26日，由四川省高校“毛泽东思想和中国特色社会主义理论体系概论”课教学研究会主办，马克思主义学院承办的“党的二十大精神融入‘概论’课教学研讨会暨四川省高校‘概论’课教学研究会2022年年会”召开，校党委副书记申小蓉出席会议并致辞。中央马克思主义理论研究和建设工程首席专家陈锡喜教授做主题报告。来自省内外73所高校的350余名教师参会。
846,3月26日， 2023年蓉漂人才日系列活动之高层次人才高峰论坛新工科电子信息类分论坛、新理科分论坛和新文科分论坛分别在清水河校区举行，副校长胡俊出席活动并致辞。多个学院的学者代表分别作专题学术报告及围绕学院高质量发展作“十四五”规划汇报，来自复旦大学、南京大学、上海大学、首都师范大学、四川大学、华东师范大学等高校的专家教授在各分论坛作现场点评和指导，并与师生代表开展学术交流。
847,3月26日，电子科技大学安徽校友会举行换届活动，副校长孔令讲出席活动并致辞。1979级校友、安徽民生信息股份有限公司董事长胡浩任新一任会长，1981级校友、中国电科朱大春校友任秘书长。来自全国各地的校友会代表、安徽本地校友近两百人参加本次活动。
848,3月20日，学校召开二级党组织书记例会，传达学习上级相关会议和文件精神，安排部署年度重点工作。校党委书记王亚非主持会议，校党委副书记申小蓉、彭岚、靳敏，党口各职能部门负责人，各二级党组织书记参加会议。
849,3月20日，学校召开新提任中层领导人员任职廉政谈话会议，校党委书记王亚非为新提任干部作集体任职谈话，校党委副书记、纪委书记彭岚作集体廉政谈话。新提任中层领导人员参加会议。
850,3月20日，广东省汕尾市政协副主席黄镜波带队来校开展“奔向海陆丰”人才招引专项行动，校党委副书记申小蓉会见黄镜波一行，双方围绕就业引才、学生实习实践、校地合作等进行了座谈交流。
851,3月17-19日，计算机科学与工程学院（网络空间安全学院）召开一流网络安全学院建设研讨会，邀请国务院网络空间安全学科评议组专家、教育部网络空间安全教指委成员、多所国内一流网络安全学院建设示范项目高校的院长、四川省和成都市网信办相关负责人以及中国网安、安恒科技等头部领军企业高层负责人等30多位领导和专家齐聚成都，共同探讨网络空间安全学院建设。副校长朱宏出席会议并致辞，中国工程院外籍院士、我校讲席特聘教授沈学民在线致辞。学校相关部门负责人参加会议。
852,3月18日，电子科技大学与社会科学文献出版社联合举办数字公共治理研讨会暨政府互联网服务能力报告发布会，副校长徐红兵、社会科学文献出版社社长王利民出席发布会。电子科技大学智慧治理研究院负责人对报告进行深入解读。来自清华大学、北京大学、成都市经济发展研究院等高校和科研机构的专家学者和相关部门负责人参与研讨。
853,3月16日，学校举行2023年校警校地工作研讨座谈会，副校长、安全工作领导小组副组长、办公室主任胡俊，成华区副区长、公安分局局长张旭伟参加座谈，双方就大运会安保、校园安全、校警联系机制、科技支撑等方面进行了深入交流。学校相关部门负责人参加座谈。
854,3月18-19日，“中国光谷·华为杯”第十九届中国研究生数学建模竞赛举行颁奖大会，我校荣获全国一等奖3项（一等奖满奖）、二等奖46项、三等奖32项，电子科技大学获评“优秀组织奖”。
855,3月19日，马克思主义学院举行学习贯彻党的二十大精神系列讲座，邀请武汉大学思想政治教育研究院院长、中央马工程首席专家、国务院学位委员会马克思主义理论学科评议组召集人骆郁廷教授作了题为“回答世界之问是21世纪马克思主义的重大课题”的报告。
856,3月18日-19日，学校广西招生工作组赴桂林第十八中学、桂林国龙外国语学校开展2023年本科招生宣传，全面介绍学校情况，并与考生及其家长进行深入交流。
857,3月17日-19日，自动化工程学院党委带队赴重庆开展“访企拓岗”活动，学院负责人一行走访中国电科芯片技术研究院、重庆忽米网络科技有限公司等单位，参观重庆仙桃数据谷，并围绕学生就业、校企共建、人才培养合作等与企业相关负责人进行深入交流。
858,3月18日，机械与电气工程学院本科拔尖创新人才特殊培养计划“机器人特色实验班”举行2023年项目启动会，来自全校8个学院的50名学生参与立项申报。
859,3月15日-16日，四川省高校体育教师基本功大赛举行，来自全省50余所高校的247名高校教师参赛。经过激烈的角逐，我校荣获公共体育组团体三等奖，罗棽月老师荣获公共体育实践组二等奖，邓陈亮老师获评优秀评判员。
860,3月18日，淮安市委组织部相关负责人到电子科学与工程学院访问，双方围绕科技人才合作等作了深入交流。
861,3月17日，信息与通信工程学院开展“访企拓岗”活动，学院相关负责人带队访问中国航天科工集团第二研究院，双方围绕支部共建、人才培养等作了深入交流。
862,3月17日，电子科技大学第九届新生杯歌手大赛决赛在清水河校区举行，12名学生从200余名参赛学生中脱颖而出、进入决赛并进行了精彩表演。
863,3月16日，教育部直属系统离退休工作视频通气会召开，深入学习贯彻党的二十大精神，学习传达全国老干部局长会议精神，交流直属系统离退休工作，通报今年的重点工作安排等。我校党委副书记靳敏、离退休工作处工作人员分别在清水河校区、沙河校区分会场参会。
864,近日，医学院徐如祥教授团队成功研制全球首款“小型智能机器人移动CT”，打破国外对移动CT生产核心技术的垄断，实现了中国小型智能机器人移动CT从“0”到“1”的突破。
865,3月17日，电子科学与工程学院相关负责人带队赴清华大学电子工程系、北京大学电子学院和信息科学技术学院调研，围绕党建思政、团学工作、学生发展等进行了深入交流。
866,3月17日，计算机科学与工程学院、生命科学与技术学院联合开展中加双硕士学位教育项目专题研讨，围绕中外合作办学经验、国际化人才培养、学生发展等进行了深入交流。
867,3月17日，资源与环境学院面向2022级本科生开展专业宣讲，学院负责人、教师代表、学生代表分别作了专题介绍，帮助同学们深入了解各专业情况。
868,3月17日，格拉斯哥学院召开本科2020级年级大会，学院相关负责人围绕深造规划等方面对学生进行指导。
869,3月17日，基础与前沿研究院前沿交叉党支部、研究生第一党支部联合开展“学习贯彻二十大精神，开好局起好步”主题党日活动，前往成都学习强国主题街区开展实地研学。
870,3月17日，沙河校区东院1栋2单元、5栋3单元、9栋2单元、9栋5单元加装电梯交付使用，业主代表、成华区住建交局和学校相关部门负责人参加交付仪式，共同见证幸福时刻。
871,3月17日，由国际合作与交流处主办的教育部高层次国际化人才培养创新实践项目第5期“全球治理”课程举行开班仪式，并邀请外国语学院何家勇副教授作了专题讲座。50名学员参加开班仪式和讲座学习。
872,3月17日，东汽清洁高效透平动力装备国家重点实验室材料研究中心/表面工程研究所巩秀芳主任一行到我校调研，参观了分析测试中心，并与国有资产与实验室管理处进行了业务交流。双方将在大型仪器设备共享、项目研究等方面开展合作。
873,3月17日，国家老年大学特邀中国工程院院士、国医大师、天津中医药大学名誉校长张伯礼讲授开学第一课“中医药助力老年健康”。我校离退休工作处组织离退休教职工收看了直播。
874,3月16日、17日，信息与通信工程学院、信息与软件工程学院、经济与管理学院、外国语学院、马克思主义学院、深圳高等研究院分别召开人事人才工作研讨会，学习传达学校人事人才工作会议精神，围绕新一轮高质量发展目标任务进行了深入研讨，并安排部署近期重点工作。
875,3月16日，计算机科学与工程学院举行“计承者·师生谈心会”本科2022级专场，学院相关负责人、全体导生、班长围绕思想引领、学风建设、全面发展等与同学们进行了深入交流。
876,3月16日，经济与管理学院举行“争做复合领军人才，贡献强国青春力量”本科生立志教育大会。学院党委书记李钰致辞，院长陈旭作题为“争做拔尖复合人才，贡献强国青春力量”的报告。本科2021级、2022级全体学生参加大会。
877,3月16日，英才实验学院与基础与前沿研究院联合开展人才培养专题研讨会，围绕基础研究拔尖人才培养模式创新进行了深入探讨。
878,3月16日，西北工业大学出版社社长高大力一行到我校出版社访问，双方围绕编校效率提升、出版物质量管控等方面作了深入交流。
879,3月16日，中国当代电影艺术领军人物、著名电影制作人、国家一级导演江平做客“高等研究院讲坛”，作了题为“电影纵横·银幕今夕”的中国红色电影文化专题讲座。
880,3月15日，天津大学电气自动化与信息工程学院负责人一行到我校信息与通信工程学院、自动化工程学院调研，围绕学科建设、人才培养、科学研究等进行了深入交流。
881,3月16日，自动化工程学院2020060909班举行“青春践行二十大——历练成长、不负韶华”主题班会，同学们就个人成长收获作汇报，副校长胡皓全受邀出席并结合个人求学经历为同学们作分享，勉励大家涵养家国情怀，让青春奋斗与强国建设、民族复兴同频共振。
882,3月16日，我校首届“学院说——2022年国际化人才培养优秀学院评比”决赛暨第十四届“成电国际·国际教育交流月”闭幕式举办，副校长罗光春出席活动并致辞。国际处、学工部、教务处、研究生院和合作发展部相关负责人担任评委并作点评。经过角逐，格拉斯哥学院获本次评比金奖。
883,3月15日，校党委副书记申小蓉带队赴海南陵水黎安国际教育创新试验区，看望格拉斯哥海南学院学生并召开学生代表座谈会，关心了解学生学习生活情况，并与试验区管理局会谈交流，同时走访了中科院声学所南海研究站，开展“访企拓岗”活动，就人才培养、建立常态化合作机制等作深入交流。学工部、校团委、大学生文化素质教育中心等单位负责人参加相关活动。
884,3月16日，2005届校友、维塔士区域总监田立做客成电讲坛（信雅系列），为沙河校区的同学们带来题为“信息爆炸时代的学习之道”的讲座。
885,3月16日，生命科学与技术学院举行第一轮教学大纲及培养方案修订研讨会，就学院54门本科课程、36门研究生课程的教学大纲进行深入讨论，40余位老师与会交流。
886,3月16日，外国语学院召开安全工作专题会议，传达学校安全工作会议精神，审议通过了学院安全工作领导小组（含实验室安全）名单，安排部署学院安全重点工作。
887,3月16日，图书馆党总支召开理论学习中心组扩大会议，深入学习习近平总书记在学习贯彻党的二十大精神研讨班开班式上发表的重要讲话精神，领会“正确理解和大力推进中国式现代化”的重要意义。
888,3月16日，嘉祥教育集团学生助委会主任龙林做客校工会三八节系列活动，以线下线上相结合的方式为百余名教职工及家属为题作“做高效能父母”的专题分享。
889,3月15日，由教育部、四川省教育厅、四川省文旅厅主办，大学生文化素质教育中心承办的“2023高雅艺术进校园——四川交响乐团室内乐专场音乐会”在成电会堂上演，四川交响乐团的艺术家们为1000余名成电师生带来了精彩的室内管弦乐演奏。
890,3月15日，教务处本科招生办公室开展本学期第二期校园开放日活动，四川师范大学附属中学高二年级640余名师生来校参观，材料与能源学院夏川教授、格拉斯哥学院徐世中教授等分别为师生作主题讲座。师生们还前往图书馆、电子科技博物馆、电子实验中心、大学生科创竞赛协会和微波暗室等处参观。
891,3月15日，机械与电气工程学院硕士生第六、第七党支部联合电子科大研究生宣讲团开展“赓续红色基因，走好科技报国长征路”主题党课，通过一系列成电人科技报国的先进事迹，勉励支部同志奋发向上、不负青春。
892,3月15日，计算机科学与工程学院开展“访企拓岗”活动，学院相关负责人、辅导员及学生代表等走访中国工商银行软件开发中心，就春季招聘、人才培养等与企业方负责人、专家等开展座谈交流。
893,3月15日，学校召开医工交叉特色岗位专题研讨会，深入研讨医工交叉特色岗位实施方案。胡俊副校长，医学院院长杨正林院士，四川省人民医院、四川省肿瘤医院、成都市妇女儿童中心医院、绵阳市中心医院等电子科技大学附属医院及成都市第四人民医院负责人，相关学院和职能部门负责人参加会议。
894,3月15日，由电子科技大学、成都市电子商务学会承办的第十三届全国大学生电子商务“创新、创意及创业”挑战赛四川赛区筹备会在我校清水河校区召开，会议围绕赛事规则、省赛及校赛安排、下一届承办校选择等进行研讨交流。四川省电商教指委副主任委员帅青红，成都市电子商务协会副秘书长陈梓宇，来自38所省内高校的50余名老师参加会议。
895,3月15日，电子科学与工程学院举办“青春践行二十大，强国有我新征程——院领导面对面”活动，学院负责人与30余名学生代表围绕课程学习、培养方案设置和修订等进行了深入交流。
896,3月15日，材料与能源学院研究生第三党支部与四川启睿克科技有限公司（长虹中央研究院）云计算与大数据研究中心成都党支部联合举办党支部共建活动，同学们实地参观了解了长虹新能源材料实验室的材料制备和测试中心，进一步增进对企业、就业、行业的了解。
897,3月15日，光电科学与工程学院开展学生创新创业比赛培训会，邀请校团委相关负责老师作参赛指导。
898,3月14日、15日，自动化工程学院、计算机科学与工程学院分别开展“访企拓岗”系列活动，学院师生走进北京航天测控成都分公司、中国电科集团十所、成都市委网信办等单位参观学习，并围绕招聘就业、实习实训、人才培养等进行了深入交流。
899,3月15日，计算机科学与工程学院党委开展学生党支部书记专项培训计划——党务工作培训专场，围绕基层党支部建设等进行专题培训。
900,3月15日，生命科学与技术学院召开党委会暨党政联席（扩大）会议，专题研讨“十四五”规划师资队伍建设，围绕新一轮高质量目标任务关于师资队伍建设的要求进行了深入研讨。
901,3月15日，经济与管理学院召开意识形态及安全工作会议，传达学校2022年“平安成电建设”工作总结暨2023年第一次安全工作会议精神，研讨部署学院近期安全工作重点。
902,3月15日，电子科技大学（深圳）高等研究院召开工作研讨会，研讨部署研究院“十四五”发展规划和近期重点工作。
903,3月14日，深圳市龙华区委组织部常务副部长张磊一行来校访问，参观了校史馆、学生科创团队，并举行了深圳市龙华区事业单位2023年校园招聘成都站线下宣讲会。龙华区相关部门和电子科技大学（深圳）高等研究院相关负责人陪同访问。
904,3月14日，经济与管理学院开展新生教育讲座，邀请心理健康教育中心李媛教授作了题为“宿舍人际关系的分析与调试路径”的报告。
905,3月13日、14日，集成电路科学与工程学院以线上线下相结合的方式开展“辅导员说”系列活动，面向本科2021级和2022级学生开展出国境深造等专题培训和指导。
906,3月14日，学校举行第九届学位与研究生教育督导专家组增补聘用仪式暨督导工作布置会。副校长胡皓全出席会议并向增补的7位专家颁发聘书。研究生院负责人介绍近期研究生教育情况，督导组研讨并布置本学期督导工作。
907,3月14日，机械与电气工程学院召开党委会，学习习近平总书记在第十四届全国人民代表大会第一次会议上的重要讲话精神，研讨学院2023年党建和思政工作要点。
908,3月14日，航空航天学院召开“十四五”规划师资队伍建设专题研讨会，围绕新一轮高质量目标任务关于师资队伍建设的要求进行了深入研讨。
909,3月14日，由信息与软件工程学院承办的广东省职业院校骨干教师专业技术能力提升培训班在沙河校区开班，来自广东全省职业院校的64位学员参加开班仪式。
910,3月14日，数学科学学院持续开展“访企拓岗”系列活动，邀请深圳农商银行直营客群中心负责人到学院交流，围绕学生就业、人才培养合作等进行深入交流。
911,3月14日，医学院举办成电医学讲坛-师生面对面活动，邀请医学院护理系主任、四川省人民医院护理部主任温贤秀教授作了专题分享，并与同学们进行了深入交流。
912,3月14日，经济与管理学院开展院领导接待日活动，学院负责人与博士生代表就学习生活、职业发展等进行了深入交流。
913,3月14日，外国语学院召开新学期党建工作会，安排部署2023年学院党建工作重点。
914,3月13日，“国际组织与国际传播”微专业首场讲坛举行，邀请联合国防治荒漠化公约秘书处亚太区域协调处前处长杨有林作了专题报告，介绍了中国科技人才进入联合国专业机构服务的经验。
915,3月13日，成电青年说“强国志 青春YOUNG”计算机科学与工程学院深造优秀学子专场在清水河校区举行，邀请4位2019级优秀学子分享保研和留学申请经验。
916,3月13日，由继续教育学院举办的“深能南京能源控股有限公司管理干部能力提升研修班”在沙河校区开班，38名学员参加开班仪式。
917,3月13日，格拉斯哥学院召开党委会，专题研讨并部署了成立格拉斯哥海南学院党支部、成立学生第六党支部和学生第七党支部、改选教工党支部书记等事宜。
918,3月13日，校党委书记王亚非为物理学院2020级强基计划班团支部、本科生第一党支部学生讲授“开学第一课”，深入宣讲党的二十大精神并与同学们座谈交流，勉励同学们为实现中华民族伟大复兴的中国梦贡献青春力量。
919,3月12日-13日，中国石油大学（北京）克拉玛依校区党委书记、校长梁永图，副校长李军一行来校访问，校党委副书记申小蓉、副校长胡俊分别围绕创新创业、人才招聘、对口支援等工作进行座谈交流。学校相关部门负责人参加座谈。
920,3月13日，“奋进新征程 巾帼绽芳华——百名巾帼劳模进校园”宣讲活动协调会在我校举行，四川省总工会党组成员徐真彦到校指导工作，并为我校授予“四川省家庭友好型工作场所”“四川省职工‘五小’活动先进单位”牌匾。校党委副书记、工会主席靳敏出席会议。省总工会女职工部、省教科文卫工会负责人参会。
921,3月13日，信息与软件工程学院、经济与管理学院、基础与前沿研究院分别召开会议，深入学习全国两会精神和党的二十届二中全会精神，并结合学校近期工作会议精神研究部署本学期重点工作。
922,3月13日，格拉斯哥学院召开安全工作专题会议，传达学校安全工作会议精神，研讨部署近期安全工作重点。
923,3月13日，由继续教育学院举办的“省直机关党支部书记学习贯彻党的二十大精神专题培训班”在沙河校区开班。来自省直机关各单位的130名干部参加开班仪式。
924,3月13日，党委学生工作部召开部门工作研讨会，结合近期学校相关会议精神研讨部署2023年度重点工作。
925,3月12日，材料与能源学院、机械与电气工程学院、格拉斯哥海南学院分别组织开展植树节活动，培养学子劳动意识，提升综合素养。
926,近日，医学院举行每周“医”学教职工理论学习，邀请校团委相关负责人作创新创业赛事专题培训。
927,3月10日，合作发展部召开工作研讨会，深入研讨2023年校友会、基金会工作，部署年度重点工作。副校长孔令讲出席会议，并对部门工作提出要求。
928,3月11日，由继续教育学院举办的“中国水利水电第七工程局有限公司南方分公司中高层管理人员培训”在电子科技大学（深圳）高等研究院开班，水电七局的80名学员将围绕管理哲学思想和管理实践、发展数字经济的机遇与创新路径、中国传统文化解读等内容展开学习。
929,近日，图书馆学科服务团队走访了数学、信通、物理、光电等学院，就学院人才分析评价、领域动态跟踪、素养教育支持、文献资源需求等进行调研并开展座谈交流。
930,3月10日，四川省政府副秘书长刘全胜一行到沙河校区体育馆调研，考察成都大运会排球训练场馆中心筹备工作，对我校各项筹备工作给予了高度肯定。校党委副书记申小蓉、成华区副区长刘虹陪同考察，学校办公室、党委保卫部、体育部相关负责人等陪同调研。
931,3月10日，由教师发展中心主办的“名师讲堂”在线上举行，邀请英国华威大学Marina Antoniou教授作了题为“SiC MOSFET and IGBT Device Technologies Status”的报告。
932,3月9日、10日，计算机科学与工程学院、信息与软件工程学院分别召开2023年学生工作研讨会，结合学校相关会议精神研讨部署2023年学院学生工作重点。
933,3月8日-9日，格拉斯哥海南学院负责人前往电子科技大学（深圳）高等研究院、电子科技大学长三角研究院（湖州）调研，围绕校地合作、办学机制、科研平台、人才培养等进行深入交流。
934,3月9日，信息与通信工程学院召开2023年培养方案修订工作组成立大会暨培养方案修订工作研讨会，学科带头人、教学名师、专业负责人和教学骨干深入学习了学校本科人才培养方案修订指导意见，并就学院新一轮人才培养方案修订原则、思路和内容进行了研讨。
935,3月8日，校党委书记王亚非为光电科学与工程学院2019050308班讲授“开学第一课”，围绕“青春践行二十大，强国有我新征程”主题，开展党的二十大和两会精神学习，勉励同学们探索未知、追求真理，主动将个人的未来同国家的发展联系起来，在推进中国式现代化和实现中华民族伟大复兴的征程中贡献成电人的力量。
936,3月8日，四川大学华西医院感染性疾病中心学科主任唐红教授做客大学生文化素质教育中心主办、医学院承办的成电讲坛“仁医讲坛”系列讲座，为沙河校区的同学们带来题为“从个人成长经历谈医学生职业生涯的发展”的专题讲座，并与大家互动交流。
937,3月8日，保卫处邀请成都市公安局交警五分局“车管业务流动服务车”进校园，协调成华公安分局户政大队、出入境管理部门，为师生提供驾驶证换证补证、违章处理、身份证补办等业务，开展出入境咨询、交通安全宣传活动。
938,3月7日，教育部召开全国教育系统疫情防控工作视频会议，我校在清水河校区设分会场参会，校党委副书记申小蓉出席会议。学校办公室、校医院、后勤保障部、学工部、研究生院、终身教育处、人力资源部、国资处、宣传部、保卫处负责人等参加会议。
939,3月7日，校党委副书记申小蓉会见晶艺半导体有限公司常务副总经理兼CTO李伊珂校友、麒麟软件有限公司高级副总裁刘浩驰校友一行，围绕人才培养、就业育人、校企合作、集成电路和软件行业发展等进行了深入交流。党委学工部、集成电路科学与工程学院负责人等参加会见。
940,3月7日，学校举行2023年科技工作及大团队交流会议。副校长徐红兵出席会议并对做好今年科技工作提出要求。科学技术发展研究院各业务处室负责人总结了2022年取得的成绩，分析了相关工作面临的新形势，对今年重点工作做出部署。集成电路科学与工程学院、通信抗干扰技术全国重点实验室、基础与前沿研究院和认知计算与智能决策团队、人机智能技术与系统教育部工程研究中心负责人分别作了交流发言。学校科技委、伦理委，各二级单位科研管理负责人，科研科、大团队负责人，科研平台负责人、相关专家代表，学校相关职能部门负责人等与会。
941,3月7日，四川省政府副秘书长刘全胜一行到清水河校区体育馆调研，全方位、多维度考察成都大运会篮球场馆中心筹备工作，对我校各项筹备工作给予肯定。
942,3 月 6 日，学校召开2023 年上半年人事人才工作会，研讨部署上半年人事人才重点工作。副校长胡俊，各学院（部）、人才优先发展战略工作小组成员单位主要负责人，各学院（部）人事干事等参加会议并作了深入交流研讨。
943,3月7日，医学院组织开展基础医学公共实验平台开放日活动（第二期），同学们参观了公共平台，了解了相关实验器材及科研团队工作情况，相关老师就大家提出的问题进行了现场解答。
944,3月7日，计算机科学与工程学院（网络空间安全学院）、集成电路科学与工程学院开展“访企拓岗”系列活动，分别邀请中国人民解放军战略支援部队信息工程大学网络安全学院党委书记许胜一行、晶艺半导体有限公司李伊珂常务总副经理一行来校交流，双方就人才培养、校企合作、实习实训、毕业生招聘等进行了研讨，共促学生成长成才。
945,3月3日，校党委书记王亚非来到学生活动中心，了解学校“学雷锋”志愿服务电话专线（028-61830305）开通情况，为2022年度十大杰出青年志愿者颁发证书，并参观“新时代·新雷锋 雷锋精神代代相传”志愿成果展和“爱心集市”活动。学校相关职能部门负责人陪同参观。
946,3月2日，学校召开纪委全委会，校党委副书记、纪委书记彭岚传达了二十届二中全会、二十届中央纪委二次全会和四川省纪委十二届二次全会精神。会议审议了学校2023年纪检监察工作要点。
947,3月1日-2日，由国家自然科学基金委管理科学部主办、电子科技大学经济与管理学院承办的国家自然科学基金委员会管理科学部重点国际（地区）合作研究项目与组织间合作研究项目结题验收和中期检查会在我校清水河校区召开。校长曾勇出席开幕式并致辞，管理科学部副主任刘作仪研究员介绍了结题验收和中期检查管理办法与相关要求。管理科学部综合处副处长李江涛、经济与管理学院院长陈旭、管理科学部工作人员以及来自全国各高校的项目负责人、团队主要成员等参加会议。20余位项目负责人分别就研究工作执行情况等进行了报告。
948,3月1日，电子科学与工程学院学生发展指导中心开展“电子说”系列活动之“学长说：电磁场专业的那些事”，通过朋辈分享加强学生对专业的认知和认同。
949,2月27日，由教师发展中心主办、机械与电气工程学院承办的“学术沙龙”在线上举行，邀请西安交通大学雷亚国教授围绕“国家自然科学基金申报”作了交流指导。
950,2月27日，机械与电气工程学院、信息与软件工程学院、医学院、外国语学院、体育部、英才实验学院、格拉斯哥海南学院、学工部等学院和部门负责人深入教学一线，查看新学期教学开展情况。
951,2月23日，教育部党组成员、副部长吴岩一行来校调研。教育部高等教育司副司长武世兴、科学技术与信息化司副司长张国辉，四川省副省长郑备，省政府副秘书长刘全胜，省教育厅党组书记、厅长余孝其，省委教育工委副书记、教育厅党组成员张澜涛，校党委书记王亚非、校长曾勇，校领导朱宏、申小蓉、胡皓全、彭岚、孔令讲、罗光春参加活动。吴岩在先进毫米波技术集成攻关研究院、微波光子中心和电子薄膜与集成器件全国重点实验室，听取学校创新成果介绍。吴岩还与学校领导班子成员及相关职能部门负责人进行座谈，王亚非主持座谈会，曾勇作学校工作汇报。
952,2月24日，信息与通信工程学院召开本科培养方案修订专家工作会，围绕新一轮本科人才培养方案深入修订作了研讨。学院负责人和专业首席教授代表参加会议。
953,2月24日，电子科学与工程学院党委召开理论学习中心组会议，认真学习学院党委会和党政联席会议事决策制度，并邀请学校办公室、发展规划与学科建设处相关负责人围绕信息化办公、学科建设作了辅导报告。
954,2月24日，材料与能源学院召开2023届毕业生深造与就业分析总结会，学院相关负责人分析了当前深造与就业形势，并对同学们做好深造和就业准备进行了辅导。
955,2月24日，计算机科学与工程学院（网络空间安全学院）召开2023年学生工作研讨会，结合教育部和学校相关工作要求，对新学期学生工作重点进行研讨部署。
956,2月24日，信息与软件工程学院、经济与管理学院、马克思主义学院分别召开全院教职工大会，传达学习2023年学校工作研讨会精神，并围绕未来五年发展规划和年度工作要点进行了安排部署。
957,2月24日，英国工程技术学会（IET）工程教育国际专业认证评估反馈会在线上举行。经过为期三天的严格评审，专家组充分肯定并推荐我校与英国格拉斯哥大学联合举办的电子信息工程、通信工程、微电子科学与工程3个专业通过现场评估认证。
958,2月24日，基础与前沿研究院党委召开理论学习中心组（扩大）会议，深入学习习近平总书记在中共中央政治局第三次集体学习时的重要讲话精神，并对近期重点工作进行研讨部署。
959,近日，为配合学校进口设备采购工作的顺利开展，国有资产与实验室管理处对各二级单位开展系列业务培训，围绕准确快速完成进口货物外贸合同及免税申报等进行深入解读。
